Type,# Threads,# Loops,Microseconds,Update Frequency
Locking V2 - Approx, 2, 1000000, 134710, 10000
Locking V2 - Approx, 4, 1000000, 286341, 10000
Locking V2 - Approx, 10, 1000000, 748866, 10000
Locking V2 - Approx, 20, 1000000, 1386868, 10000
Locking V2 - Approx, 0, 1000000, 7987, 100
Locking V2 - Approx, 1, 1000000, 77603, 100
Locking V2 - Approx, 2, 1000000, 91429, 100
Locking V2 - Approx, 4, 1000000, 287480, 100
Locking V2 - Approx, 10, 1000000, 649945, 100
Locking V2 - Approx, 20, 1000000, 1355562, 100
Locking V2 - Approx, 0, 1000000, 7255, 10000
Locking V2 - Approx, 1, 1000000, 51136, 10000
Locking V2 - Approx, 2, 1000000, 107979, 10000
Locking V2 - Approx, 4, 1000000, 298831, 10000
Locking V2 - Approx, 10, 1000000, 760747, 10000
Locking V2 - Approx, 20, 1000000, 1368214, 10000
Locking V2 - Approx, 0, 1000000, 7969, 100
Locking V2 - Approx, 1, 1000000, 56857, 100
Locking V2 - Approx, 2, 1000000, 116599, 100
Locking V2 - Approx, 4, 1000000, 282033, 100
Locking V2 - Approx, 10, 1000000, 747477, 100
Locking V2 - Approx, 20, 1000000, 1376011, 100
Locking V2 - Approx, 0, 1000000, 7473, 10000
Locking V2 - Approx, 1, 1000000, 50849, 10000
Locking V2 - Approx, 2, 1000000, 104393, 10000
Locking V2 - Approx, 4, 1000000, 284679, 10000
Locking V2 - Approx, 10, 1000000, 748659, 10000
Locking V2 - Approx, 20, 1000000, 1378161, 10000
Locking V2 - Approx, 0, 1000000, 7859, 100
Locking V2 - Approx, 1, 1000000, 53828, 100
Locking V2 - Approx, 2, 1000000, 111826, 100
Locking V2 - Approx, 4, 1000000, 298289, 100
Locking V2 - Approx, 10, 1000000, 764692, 100
Locking V2 - Approx, 20, 1000000, 1396524, 100
Locking V2 - Approx, 0, 1000000, 7397, 10000
Locking V2 - Approx, 1, 1000000, 42722, 10000
Locking V2 - Approx, 2, 1000000, 117407, 10000
Locking V2 - Approx, 4, 1000000, 290104, 10000
Locking V2 - Approx, 10, 1000000, 756690, 10000
Locking V2 - Approx, 20, 1000000, 1328555, 10000
Locking V2 - Approx, 0, 1000000, 7975, 100
Locking V2 - Approx, 1, 1000000, 57791, 100
Locking V2 - Approx, 2, 1000000, 113496, 100
Locking V2 - Approx, 4, 1000000, 296769, 100
Locking V2 - Approx, 10, 1000000, 743825, 100
Locking V2 - Approx, 20, 1000000, 1366637, 100
Locking V2 - Approx, 0, 1000000, 7761, 10000
Locking V2 - Approx, 1, 1000000, 68423, 10000
Locking V2 - Approx, 2, 1000000, 109260, 10000
Locking V2 - Approx, 4, 1000000, 285882, 10000
Locking V2 - Approx, 10, 1000000, 720482, 10000
Locking V2 - Approx, 20, 1000000, 1354837, 10000
Locking V2 - Approx, 0, 1000000, 8150, 100
Locking V2 - Approx, 1, 1000000, 64826, 100
Locking V2 - Approx, 2, 1000000, 139629, 100
Locking V2 - Approx, 4, 1000000, 276796, 100
Locking V2 - Approx, 10, 1000000, 740364, 100
Locking V2 - Approx, 20, 1000000, 1320477, 100
Locking V2 - Approx, 0, 1000000, 7435, 10000
Locking V2 - Approx, 1, 1000000, 69079, 10000
Locking V2 - Approx, 2, 1000000, 104897, 10000
Locking V2 - Approx, 4, 1000000, 286056, 10000
Locking V2 - Approx, 10, 1000000, 545777, 10000
Locking V2 - Approx, 20, 1000000, 1040086, 10000
Locking V2 - Approx, 0, 1000000, 8086, 100
Locking V2 - Approx, 1, 1000000, 68625, 100
Locking V2 - Approx, 2, 1000000, 109951, 100
Locking V2 - Approx, 4, 1000000, 297684, 100
Locking V2 - Approx, 10, 1000000, 699288, 100
Locking V2 - Approx, 20, 1000000, 1379038, 100
Locking V2 - Approx, 0, 1000000, 7709, 10000
Locking V2 - Approx, 1, 1000000, 54174, 10000
Locking V2 - Approx, 2, 1000000, 121811, 10000
Locking V2 - Approx, 4, 1000000, 273009, 10000
Locking V2 - Approx, 10, 1000000, 668268, 10000
Locking V2 - Approx, 20, 1000000, 1299573, 10000
Locking V2 - Approx, 0, 1000000, 7252, 1000000
Locking V2 - Approx, 1, 1000000, 53185, 1000000
Locking V2 - Approx, 2, 1000000, 111680, 1000000
Locking V2 - Approx, 4, 1000000, 291771, 1000000
Locking V2 - Approx, 10, 1000000, 762280, 1000000
Locking V2 - Approx, 20, 1000000, 1381009, 1000000
Locking V2 - Approx, 0, 1000000, 7455, 1000000
Locking V2 - Approx, 1, 1000000, 67988, 1000000
Locking V2 - Approx, 2, 1000000, 78183, 1000000
Locking V2 - Approx, 4, 1000000, 279860, 1000000
Locking V2 - Approx, 10, 1000000, 766036, 1000000
Locking V2 - Approx, 20, 1000000, 1326902, 1000000
Locking V2 - Approx, 0, 1000000, 7258, 1000000
Locking V2 - Approx, 1, 1000000, 46710, 1000000
Locking V2 - Approx, 2, 1000000, 109126, 1000000
Locking V2 - Approx, 4, 1000000, 301978, 1000000
Locking V2 - Approx, 10, 1000000, 673289, 1000000
Locking V2 - Approx, 20, 1000000, 1341476, 1000000
Locking V2 - Approx, 0, 1000000, 8120, 1000000
Locking V2 - Approx, 1, 1000000, 68483, 1000000
Locking V2 - Approx, 2, 1000000, 110136, 1000000
Locking V2 - Approx, 4, 1000000, 280939, 1000000
Locking V2 - Approx, 10, 1000000, 750214, 1000000
Locking V2 - Approx, 20, 1000000, 1354897, 1000000
Locking V2 - Approx, 0, 1000000, 7387, 1000000
Locking V2 - Approx, 1, 1000000, 48560, 1000000
Locking V2 - Approx, 2, 1000000, 100954, 1000000
Locking V2 - Approx, 4, 1000000, 281804, 1000000
Locking V2 - Approx, 10, 1000000, 748080, 1000000
Locking V2 - Approx, 20, 1000000, 1359807, 1000000
Locking V2 - Approx, 0, 1000000, 7589, 1000000
Locking V2 - Approx, 1, 1000000, 50061, 1000000
Locking V2 - Approx, 2, 1000000, 111934, 1000000
Locking V2 - Approx, 4, 1000000, 263007, 1000000
Locking V2 - Approx, 10, 1000000, 746681, 1000000
Locking V2 - Approx, 20, 1000000, 1358401, 1000000
Locking V2 - Approx, 0, 1000000, 7542, 1000000
Locking V2 - Approx, 1, 1000000, 42761, 1000000
Locking V2 - Approx, 2, 1000000, 107414, 1000000
Locking V2 - Approx, 4, 1000000, 299012, 1000000
Locking V2 - Approx, 10, 1000000, 743854, 1000000
Locking V2 - Approx, 20, 1000000, 1372992, 1000000
Locking V2 - Approx, 0, 1000000, 7444, 1000000
Locking V2 - Approx, 1, 1000000, 47678, 1000000
Locking V2 - Approx, 2, 1000000, 107377, 1000000
Locking V2 - Approx, 4, 1000000, 290072, 1000000
Locking V2 - Approx, 10, 1000000, 743373, 1000000
Locking V2 - Approx, 20, 1000000, 1389947, 1000000
Locking V2 - Approx, 0, 1000000, 7321, 1000000
Locking V2 - Approx, 1, 1000000, 47940, 1000000
Locking V2 - Approx, 2, 1000000, 92148, 1000000
Locking V2 - Approx, 4, 1000000, 276273, 1000000
Locking V2 - Approx, 10, 1000000, 765108, 1000000
Locking V2 - Approx, 20, 1000000, 1359906, 1000000
Locking V2 - Approx, 0, 1000000, 7526, 1000000
Locking V2 - Approx, 1, 1000000, 54366, 1000000
Locking V2 - Approx, 2, 1000000, 94308, 1000000
Locking V2 - Approx, 4, 1000000, 293486, 1000000
Locking V2 - Approx, 10, 1000000, 751639, 1000000
Locking V2 - Approx, 20, 1000000, 1356610, 1000000
Locking V2 - Approx, 0, 1000000, 7467, 1000000
Locking V2 - Approx, 1, 1000000, 47870, 1000000
Locking V2 - Approx, 2, 1000000, 91700, 1000000
Locking V2 - Approx, 4, 1000000, 286918, 1000000
Locking V2 - Approx, 10, 1000000, 674135, 1000000
Locking V2 - Approx, 20, 1000000, 1397079, 1000000
Locking V2 - Approx, 0, 1000000, 7458, 1000000
Locking V2 - Approx, 1, 1000000, 71577, 1000000
Locking V2 - Approx, 2, 1000000, 101798, 1000000
Locking V2 - Approx, 4, 1000000, 289071, 1000000
Locking V2 - Approx, 10, 1000000, 741235, 1000000
Locking V2 - Approx, 20, 1000000, 1366328, 1000000
Locking V2 - Approx, 0, 1000000, 7475, 1000000
Locking V2 - Approx, 1, 1000000, 46309, 1000000
Locking V2 - Approx, 2, 1000000, 114647, 1000000
Locking V2 - Approx, 4, 1000000, 285956, 1000000
Locking V2 - Approx, 10, 1000000, 758336, 1000000
Locking V2 - Approx, 20, 1000000, 1366769, 1000000
Locking V2 - Approx, 0, 1000000, 7626, 1000000
Locking V2 - Approx, 1, 1000000, 43605, 1000000
Locking V2 - Approx, 2, 1000000, 113072, 1000000
Locking V2 - Approx, 4, 1000000, 276421, 1000000
Locking V2 - Approx, 10, 1000000, 771174, 1000000
Locking V2 - Approx, 20, 1000000, 1403420, 1000000
Locking V2 - Approx, 0, 1000000, 7400, 1000000
Locking V2 - Approx, 1, 1000000, 46615, 1000000
Locking V2 - Approx, 2, 1000000, 98285, 1000000
Locking V2 - Approx, 4, 1000000, 293864, 1000000
Locking V2 - Approx, 10, 1000000, 763431, 1000000
Locking V2 - Approx, 20, 1000000, 1405642, 1000000
Locking V2 - Approx, 0, 1000000, 7203, 1000000
Locking V2 - Approx, 1, 1000000, 65344, 1000000
Locking V2 - Approx, 2, 1000000, 109831, 1000000
Locking V2 - Approx, 4, 1000000, 281962, 1000000
Locking V2 - Approx, 10, 1000000, 760427, 1000000
Locking V2 - Approx, 20, 1000000, 1380469, 1000000
Locking V2 - Approx, 0, 1000000, 7909, 1000000
Locking V2 - Approx, 1, 1000000, 67650, 1000000
Locking V2 - Approx, 2, 1000000, 146466, 1000000
Locking V2 - Approx, 4, 1000000, 291020, 1000000
Locking V2 - Approx, 10, 1000000, 777318, 1000000
Locking V2 - Approx, 20, 1000000, 1388964, 1000000
Locking V2 - Approx, 0, 1000000, 7379, 1000000
Locking V2 - Approx, 1, 1000000, 61174, 1000000
Locking V2 - Approx, 2, 1000000, 103181, 1000000
Locking V2 - Approx, 4, 1000000, 239674, 1000000
Locking V2 - Approx, 10, 1000000, 765599, 1000000
Locking V2 - Approx, 20, 1000000, 1392494, 1000000
Locking V2 - Approx, 0, 1000000, 7430, 1000000
Locking V2 - Approx, 1, 1000000, 59898, 1000000
Locking V2 - Approx, 2, 1000000, 103515, 1000000
Locking V2 - Approx, 4, 1000000, 278963, 1000000
Locking V2 - Approx, 10, 1000000, 745173, 1000000
Locking V2 - Approx, 20, 1000000, 1413595, 1000000
Locking V2 - Approx, 0, 1000000, 7486, 1000000
Locking V2 - Approx, 1, 1000000, 52338, 1000000
Locking V2 - Approx, 2, 1000000, 109604, 1000000
Locking V2 - Approx, 4, 1000000, 281633, 1000000
Locking V2 - Approx, 10, 1000000, 761650, 1000000
Locking V2 - Approx, 20, 1000000, 1379491, 1000000
Locking V2 - Approx, 0, 1000000, 7954, 100
Locking V2 - Approx, 1, 1000000, 61043, 100
Locking V2 - Approx, 2, 1000000, 119433, 100
Locking V2 - Approx, 4, 1000000, 287323, 100
Locking V2 - Approx, 10, 1000000, 759330, 100
Locking V2 - Approx, 20, 1000000, 1437198, 100
Locking V2 - Approx, 0, 1000000, 7368, 10000
Locking V2 - Approx, 1, 1000000, 56063, 10000
Locking V2 - Approx, 2, 1000000, 122012, 10000
Locking V2 - Approx, 4, 1000000, 291582, 10000
Locking V2 - Approx, 10, 1000000, 764589, 10000
Locking V2 - Approx, 20, 1000000, 1456379, 10000
Locking V2 - Approx, 0, 1000000, 7580, 1000000
Locking V2 - Approx, 1, 1000000, 44873, 1000000
Locking V2 - Approx, 2, 1000000, 102740, 1000000
Locking V2 - Approx, 4, 1000000, 300676, 1000000
Locking V2 - Approx, 10, 1000000, 782309, 1000000
Locking V2 - Approx, 20, 1000000, 1458107, 1000000
Locking V2 - Approx, 0, 1000000, 7963, 100
Locking V2 - Approx, 1, 1000000, 58704, 100
Locking V2 - Approx, 2, 1000000, 90899, 100
Locking V2 - Approx, 4, 1000000, 297616, 100
Locking V2 - Approx, 10, 1000000, 778969, 100
Locking V2 - Approx, 20, 1000000, 1442360, 100
Locking V2 - Approx, 0, 1000000, 7701, 10000
Locking V2 - Approx, 1, 1000000, 46978, 10000
Locking V2 - Approx, 2, 1000000, 92723, 10000
Locking V2 - Approx, 4, 1000000, 302466, 10000
Locking V2 - Approx, 10, 1000000, 771712, 10000
Locking V2 - Approx, 20, 1000000, 1446597, 10000
Locking V2 - Approx, 0, 1000000, 7757, 1000000
Locking V2 - Approx, 1, 1000000, 57835, 1000000
Locking V2 - Approx, 2, 1000000, 86350, 1000000
Locking V2 - Approx, 4, 1000000, 287578, 1000000
Locking V2 - Approx, 10, 1000000, 770141, 1000000
Locking V2 - Approx, 20, 1000000, 1412119, 1000000
Locking V2 - Approx, 0, 1000000, 8088, 100
Locking V2 - Approx, 1, 1000000, 63340, 100
Locking V2 - Approx, 2, 1000000, 98671, 100
Locking V2 - Approx, 4, 1000000, 298556, 100
Locking V2 - Approx, 10, 1000000, 782679, 100
Locking V2 - Approx, 20, 1000000, 1437311, 100
Locking V2 - Approx, 0, 1000000, 7682, 10000
Locking V2 - Approx, 1, 1000000, 63245, 10000
Locking V2 - Approx, 2, 1000000, 113493, 10000
Locking V2 - Approx, 4, 1000000, 279345, 10000
Locking V2 - Approx, 10, 1000000, 757314, 10000
Locking V2 - Approx, 20, 1000000, 1440450, 10000
Locking V2 - Approx, 0, 1000000, 7847, 1000000
Locking V2 - Approx, 1, 1000000, 44002, 1000000
Locking V2 - Approx, 2, 1000000, 98110, 1000000
Locking V2 - Approx, 4, 1000000, 291479, 1000000
Locking V2 - Approx, 10, 1000000, 784484, 1000000
Locking V2 - Approx, 20, 1000000, 1445051, 1000000
Locking V2 - Approx, 0, 1000000, 7954, 100
Locking V2 - Approx, 1, 1000000, 54202, 100
Locking V2 - Approx, 2, 1000000, 111729, 100
Locking V2 - Approx, 4, 1000000, 290172, 100
Locking V2 - Approx, 10, 1000000, 778317, 100
Locking V2 - Approx, 20, 1000000, 1426363, 100
Locking V2 - Approx, 0, 1000000, 7900, 10000
Locking V2 - Approx, 1, 1000000, 75405, 10000
Locking V2 - Approx, 2, 1000000, 135839, 10000
Locking V2 - Approx, 4, 1000000, 287870, 10000
Locking V2 - Approx, 10, 1000000, 762083, 10000
Locking V2 - Approx, 20, 1000000, 1362867, 10000
Locking V2 - Approx, 0, 1000000, 7813, 1000000
Locking V2 - Approx, 1, 1000000, 57923, 1000000
Locking V2 - Approx, 2, 1000000, 132454, 1000000
Locking V2 - Approx, 4, 1000000, 288986, 1000000
Locking V2 - Approx, 10, 1000000, 767976, 1000000
Locking V2 - Approx, 20, 1000000, 1468492, 1000000
Locking V2 - Approx, 0, 1000000, 8153, 100
Locking V2 - Approx, 1, 1000000, 48620, 100
Locking V2 - Approx, 2, 1000000, 99326, 100
Locking V2 - Approx, 4, 1000000, 283217, 100
Locking V2 - Approx, 10, 1000000, 787656, 100
Locking V2 - Approx, 20, 1000000, 1427124, 100
Locking V2 - Approx, 0, 1000000, 7734, 10000
Locking V2 - Approx, 1, 1000000, 58864, 10000
Locking V2 - Approx, 2, 1000000, 103407, 10000
Locking V2 - Approx, 4, 1000000, 299284, 10000
Locking V2 - Approx, 10, 1000000, 781744, 10000
Locking V2 - Approx, 20, 1000000, 1422205, 10000
Locking V2 - Approx, 0, 1000000, 7678, 1000000
Locking V2 - Approx, 1, 1000000, 45006, 1000000
Locking V2 - Approx, 2, 1000000, 72635, 1000000
Locking V2 - Approx, 4, 1000000, 300307, 1000000
Locking V2 - Approx, 10, 1000000, 783262, 1000000
Locking V2 - Approx, 20, 1000000, 1425021, 1000000
Locking V2 - Approx, 0, 1000000, 8265, 100
Locking V2 - Approx, 1, 1000000, 49996, 100
Locking V2 - Approx, 2, 1000000, 109696, 100
Locking V2 - Approx, 4, 1000000, 287463, 100
Locking V2 - Approx, 10, 1000000, 772627, 100
Locking V2 - Approx, 20, 1000000, 1361218, 100
Locking V2 - Approx, 0, 1000000, 7595, 10000
Locking V2 - Approx, 1, 1000000, 69215, 10000
Locking V2 - Approx, 2, 1000000, 97380, 10000
Locking V2 - Approx, 4, 1000000, 285203, 10000
Locking V2 - Approx, 10, 1000000, 757652, 10000
Locking V2 - Approx, 20, 1000000, 1408745, 10000
Locking V2 - Approx, 0, 1000000, 7603, 1000000
Locking V2 - Approx, 1, 1000000, 48660, 1000000
Locking V2 - Approx, 2, 1000000, 133029, 1000000
Locking V2 - Approx, 4, 1000000, 280513, 1000000
Locking V2 - Approx, 10, 1000000, 771198, 1000000
Locking V2 - Approx, 20, 1000000, 1427041, 1000000
Locking V2 - Approx, 0, 1000000, 8063, 100
Locking V2 - Approx, 1, 1000000, 50613, 100
Locking V2 - Approx, 2, 1000000, 114852, 100
Locking V2 - Approx, 4, 1000000, 292739, 100
Locking V2 - Approx, 10, 1000000, 775314, 100
Locking V2 - Approx, 20, 1000000, 1446341, 100
Locking V2 - Approx, 0, 1000000, 7593, 10000
Locking V2 - Approx, 1, 1000000, 43495, 10000
Locking V2 - Approx, 2, 1000000, 125041, 10000
Locking V2 - Approx, 4, 1000000, 288404, 10000
Locking V2 - Approx, 10, 1000000, 771949, 10000
Locking V2 - Approx, 20, 1000000, 1413168, 10000
Locking V2 - Approx, 0, 1000000, 7663, 1000000
Locking V2 - Approx, 1, 1000000, 79825, 1000000
Locking V2 - Approx, 2, 1000000, 112852, 1000000
Locking V2 - Approx, 4, 1000000, 287137, 1000000
Locking V2 - Approx, 10, 1000000, 774376, 1000000
Locking V2 - Approx, 20, 1000000, 1335663, 1000000
Locking V2 - Approx, 0, 1000000, 8255, 100
Locking V2 - Approx, 1, 1000000, 59312, 100
Locking V2 - Approx, 2, 1000000, 125859, 100
Locking V2 - Approx, 4, 1000000, 289444, 100
Locking V2 - Approx, 10, 1000000, 742855, 100
Locking V2 - Approx, 20, 1000000, 1389489, 100
Locking V2 - Approx, 0, 1000000, 7722, 10000
Locking V2 - Approx, 1, 1000000, 48999, 10000
Locking V2 - Approx, 2, 1000000, 104614, 10000
Locking V2 - Approx, 4, 1000000, 294048, 10000
Locking V2 - Approx, 10, 1000000, 751094, 10000
Locking V2 - Approx, 20, 1000000, 1437045, 10000
Locking V2 - Approx, 0, 1000000, 7753, 1000000
Locking V2 - Approx, 1, 1000000, 51536, 1000000
Locking V2 - Approx, 2, 1000000, 85089, 1000000
Locking V2 - Approx, 4, 1000000, 284128, 1000000
Locking V2 - Approx, 10, 1000000, 775896, 1000000
Locking V2 - Approx, 20, 1000000, 1445318, 1000000
Locking V2 - Approx, 0, 1000000, 8117, 100
Locking V2 - Approx, 1, 1000000, 44233, 100
Locking V2 - Approx, 2, 1000000, 124627, 100
Locking V2 - Approx, 4, 1000000, 296387, 100
Locking V2 - Approx, 10, 1000000, 782716, 100
Locking V2 - Approx, 20, 1000000, 1428827, 100
Locking V2 - Approx, 0, 1000000, 7714, 10000
Locking V2 - Approx, 1, 1000000, 42709, 10000
Locking V2 - Approx, 2, 1000000, 104607, 10000
Locking V2 - Approx, 4, 1000000, 294894, 10000
Locking V2 - Approx, 10, 1000000, 775259, 10000
Locking V2 - Approx, 20, 1000000, 1449188, 10000
Locking V2 - Approx, 0, 1000000, 7893, 1000000
Locking V2 - Approx, 1, 1000000, 61620, 1000000
Locking V2 - Approx, 2, 1000000, 116354, 1000000
Locking V2 - Approx, 4, 1000000, 294443, 1000000
Locking V2 - Approx, 10, 1000000, 744718, 1000000
Locking V2 - Approx, 20, 1000000, 1362776, 1000000
Locking V2 - Approx, 0, 1000000, 7999, 100
Locking V2 - Approx, 1, 1000000, 46317, 100
Locking V2 - Approx, 2, 1000000, 107029, 100
Locking V2 - Approx, 4, 1000000, 299182, 100
Locking V2 - Approx, 10, 1000000, 786571, 100
Locking V2 - Approx, 20, 1000000, 1443960, 100
Locking V2 - Approx, 0, 1000000, 7763, 10000
Locking V2 - Approx, 1, 1000000, 51482, 10000
Locking V2 - Approx, 2, 1000000, 115530, 10000
Locking V2 - Approx, 4, 1000000, 293191, 10000
Locking V2 - Approx, 10, 1000000, 780217, 10000
Locking V2 - Approx, 20, 1000000, 1425554, 10000
Locking V2 - Approx, 0, 1000000, 7578, 1000000
Locking V2 - Approx, 1, 1000000, 59483, 1000000
Locking V2 - Approx, 2, 1000000, 93131, 1000000
Locking V2 - Approx, 4, 1000000, 283273, 1000000
Locking V2 - Approx, 10, 1000000, 777785, 1000000
Locking V2 - Approx, 20, 1000000, 1369903, 1000000
Locking V2 - Approx, 0, 1000000, 8779, 100
Locking V2 - Approx, 1, 1000000, 53530, 100
Locking V2 - Approx, 2, 1000000, 100157, 100
Locking V2 - Approx, 4, 1000000, 299337, 100
Locking V2 - Approx, 10, 1000000, 768272, 100
Locking V2 - Approx, 20, 1000000, 1420060, 100
Locking V2 - Approx, 0, 1000000, 7965, 10000
Locking V2 - Approx, 1, 1000000, 56087, 10000
Locking V2 - Approx, 2, 1000000, 107438, 10000
Locking V2 - Approx, 4, 1000000, 292893, 10000
Locking V2 - Approx, 10, 1000000, 765244, 10000
Locking V2 - Approx, 20, 1000000, 1433887, 10000
Locking V2 - Approx, 0, 1000000, 7665, 1000000
Locking V2 - Approx, 1, 1000000, 43557, 1000000
Locking V2 - Approx, 2, 1000000, 114599, 1000000
Locking V2 - Approx, 4, 1000000, 289697, 1000000
Locking V2 - Approx, 10, 1000000, 780294, 1000000
Locking V2 - Approx, 20, 1000000, 1449907, 1000000
Locking V2 - Approx, 0, 1000000, 8198, 100
Locking V2 - Approx, 1, 1000000, 64747, 100
Locking V2 - Approx, 2, 1000000, 105923, 100
Locking V2 - Approx, 4, 1000000, 301319, 100
Locking V2 - Approx, 10, 1000000, 780829, 100
Locking V2 - Approx, 20, 1000000, 1430067, 100
Locking V2 - Approx, 0, 1000000, 7538, 10000
Locking V2 - Approx, 1, 1000000, 47585, 10000
Locking V2 - Approx, 2, 1000000, 99891, 10000
Locking V2 - Approx, 4, 1000000, 285021, 10000
Locking V2 - Approx, 10, 1000000, 790038, 10000
Locking V2 - Approx, 20, 1000000, 1447767, 10000
Locking V2 - Approx, 0, 1000000, 7699, 1000000
Locking V2 - Approx, 1, 1000000, 43630, 1000000
Locking V2 - Approx, 2, 1000000, 96672, 1000000
Locking V2 - Approx, 4, 1000000, 298374, 1000000
Locking V2 - Approx, 10, 1000000, 767101, 1000000
Locking V2 - Approx, 20, 1000000, 1433537, 1000000
Locking V2 - Approx, 0, 1000000, 8047, 100
Locking V2 - Approx, 1, 1000000, 50415, 100
Locking V2 - Approx, 2, 1000000, 104493, 100
Locking V2 - Approx, 4, 1000000, 299762, 100
Locking V2 - Approx, 10, 1000000, 775628, 100
Locking V2 - Approx, 20, 1000000, 1443253, 100
Locking V2 - Approx, 0, 1000000, 7629, 10000
Locking V2 - Approx, 1, 1000000, 48326, 10000
Locking V2 - Approx, 2, 1000000, 95160, 10000
Locking V2 - Approx, 4, 1000000, 288033, 10000
Locking V2 - Approx, 10, 1000000, 631101, 10000
Locking V2 - Approx, 20, 1000000, 1360320, 10000
Locking V2 - Approx, 0, 1000000, 7835, 1000000
Locking V2 - Approx, 1, 1000000, 72252, 1000000
Locking V2 - Approx, 2, 1000000, 144075, 1000000
Locking V2 - Approx, 4, 1000000, 286207, 1000000
Locking V2 - Approx, 10, 1000000, 771043, 1000000
Locking V2 - Approx, 20, 1000000, 1442020, 1000000
Locking V2 - Approx, 0, 1000000, 8136, 100
Locking V2 - Approx, 1, 1000000, 52932, 100
Locking V2 - Approx, 2, 1000000, 125303, 100
Locking V2 - Approx, 4, 1000000, 303222, 100
Locking V2 - Approx, 10, 1000000, 765437, 100
Locking V2 - Approx, 20, 1000000, 1445976, 100
Locking V2 - Approx, 0, 1000000, 7804, 10000
Locking V2 - Approx, 1, 1000000, 58300, 10000
Locking V2 - Approx, 2, 1000000, 143260, 10000
Locking V2 - Approx, 4, 1000000, 281511, 10000
Locking V2 - Approx, 10, 1000000, 772734, 10000
Locking V2 - Approx, 20, 1000000, 1406308, 10000
Locking V2 - Approx, 0, 1000000, 7543, 1000000
Locking V2 - Approx, 1, 1000000, 66851, 1000000
Locking V2 - Approx, 2, 1000000, 134514, 1000000
Locking V2 - Approx, 4, 1000000, 301381, 1000000
Locking V2 - Approx, 10, 1000000, 758774, 1000000
Locking V2 - Approx, 20, 1000000, 1418247, 1000000
Locking V2 - Approx, 0, 1000000, 8155, 100
Locking V2 - Approx, 1, 1000000, 44158, 100
Locking V2 - Approx, 2, 1000000, 100589, 100
Locking V2 - Approx, 4, 1000000, 291432, 100
Locking V2 - Approx, 10, 1000000, 763755, 100
Locking V2 - Approx, 20, 1000000, 1408835, 100
Locking V2 - Approx, 0, 1000000, 7728, 10000
Locking V2 - Approx, 1, 1000000, 49436, 10000
Locking V2 - Approx, 2, 1000000, 100195, 10000
Locking V2 - Approx, 4, 1000000, 284604, 10000
Locking V2 - Approx, 10, 1000000, 777001, 10000
Locking V2 - Approx, 20, 1000000, 1422918, 10000
Locking V2 - Approx, 0, 1000000, 7810, 1000000
Locking V2 - Approx, 1, 1000000, 65851, 1000000
Locking V2 - Approx, 2, 1000000, 133297, 1000000
Locking V2 - Approx, 4, 1000000, 287221, 1000000
Locking V2 - Approx, 10, 1000000, 773589, 1000000
Locking V2 - Approx, 20, 1000000, 1417966, 1000000
Locking V2 - Approx, 0, 1000000, 8535, 100
Locking V2 - Approx, 1, 1000000, 52140, 100
Locking V2 - Approx, 2, 1000000, 101865, 100
Locking V2 - Approx, 4, 1000000, 297730, 100
Locking V2 - Approx, 10, 1000000, 768935, 100
Locking V2 - Approx, 20, 1000000, 1444814, 100
Locking V2 - Approx, 0, 1000000, 7963, 10000
Locking V2 - Approx, 1, 1000000, 61206, 10000
Locking V2 - Approx, 2, 1000000, 110097, 10000
Locking V2 - Approx, 4, 1000000, 300271, 10000
Locking V2 - Approx, 10, 1000000, 767576, 10000
Locking V2 - Approx, 20, 1000000, 1423538, 10000
Locking V2 - Approx, 0, 1000000, 7698, 1000000
Locking V2 - Approx, 1, 1000000, 68597, 1000000
Locking V2 - Approx, 2, 1000000, 120009, 1000000
Locking V2 - Approx, 4, 1000000, 294072, 1000000
Locking V2 - Approx, 10, 1000000, 762384, 1000000
Locking V2 - Approx, 20, 1000000, 1437485, 1000000
Locking V2 - Approx, 0, 1000000, 8231, 100
Locking V2 - Approx, 1, 1000000, 60678, 100
Locking V2 - Approx, 2, 1000000, 102239, 100
Locking V2 - Approx, 4, 1000000, 289925, 100
Locking V2 - Approx, 10, 1000000, 773501, 100
Locking V2 - Approx, 20, 1000000, 1402565, 100
Locking V2 - Approx, 0, 1000000, 7876, 10000
Locking V2 - Approx, 1, 1000000, 61545, 10000
Locking V2 - Approx, 2, 1000000, 114799, 10000
Locking V2 - Approx, 4, 1000000, 295881, 10000
Locking V2 - Approx, 10, 1000000, 739124, 10000
Locking V2 - Approx, 20, 1000000, 1427274, 10000
Locking V2 - Approx, 0, 1000000, 7941, 1000000
Locking V2 - Approx, 1, 1000000, 51888, 1000000
Locking V2 - Approx, 2, 1000000, 89744, 1000000
Locking V2 - Approx, 4, 1000000, 289310, 1000000
Locking V2 - Approx, 10, 1000000, 774465, 1000000
Locking V2 - Approx, 20, 1000000, 1298206, 1000000
Locking V2 - Approx, 0, 1000000, 8215, 100
Locking V2 - Approx, 1, 1000000, 43004, 100
Locking V2 - Approx, 2, 1000000, 107251, 100
Locking V2 - Approx, 4, 1000000, 290569, 100
Locking V2 - Approx, 10, 1000000, 772296, 100
Locking V2 - Approx, 20, 1000000, 1438453, 100
Locking V2 - Approx, 0, 1000000, 7680, 10000
Locking V2 - Approx, 1, 1000000, 55892, 10000
Locking V2 - Approx, 2, 1000000, 115288, 10000
